domain,method,principal_seed,violation_step_rate,reward,success_rate,intervention_rate,mean_correction_l2
autonomous_driving,none,42,0.0,-11.330714319001789,0.0,0.0,0.0
autonomous_driving,none,123,0.839,-8.72040274432206,0.0,0.0,0.0
autonomous_driving,none,456,0.33352272727272725,-7.549571968284115,0.15,0.0,0.0
autonomous_driving,clipping,42,0.0,-11.330714319001789,0.0,0.0,0.0
autonomous_driving,clipping,123,0.0,-8.588031328756164,0.0,0.839,0.2459494072794914
autonomous_driving,clipping,456,0.0,4.2810686987899205,1.0,0.4135,0.19892772370576858
autonomous_driving,lyapunov,42,0.0,-11.330714319001789,0.0,0.0,0.0
autonomous_driving,lyapunov,123,0.0,-8.588031328756164,0.0,0.839,0.2459494072794914
autonomous_driving,lyapunov,456,0.0,4.2810686987899205,1.0,0.4135,0.19892772370576858
robotics,none,42,0.0355,0.602262889181277,0.0,0.0,0.0
robotics,none,123,0.0085,0.6594945290536206,0.0,0.0,0.0
robotics,none,456,0.0,0.6367803966173643,0.0,0.0,0.0
robotics,clipping,42,0.0,0.694924909776604,0.0,0.0355,0.009699669793248171
robotics,clipping,123,0.0,0.7019945290536206,0.0,0.0085,0.004427627563476562
robotics,clipping,456,0.0,0.6367803966173643,0.0,0.0,0.0
robotics,lyapunov,42,0.0,0.6949329704464354,0.0,0.0355,0.009701833069324494
robotics,lyapunov,123,0.0,0.7019945290536206,0.0,0.0085,0.004427627563476562
robotics,lyapunov,456,0.0,0.6367803966173643,0.0,0.0,0.0
