domain,method,sigma,principal_seed,violation_step_rate,critical_violation_step_rate,constraint_violation_rate,reward,success_rate,intervention_rate,mean_correction_l2,violation_delta_from_clean,critical_delta_from_clean,constraint_delta_from_clean,reward_delta_from_clean,success_delta_from_clean,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,steps_object_grasped
autonomous_driving,none,0.0,42,0.0,0.0,0.0,-11.330714319001789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
autonomous_driving,none,0.0,123,0.839,0.0,0.839,-8.72040274432206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
autonomous_driving,none,0.0,456,0.33352272727272725,0.05965909090909091,0.48920454545454545,-7.549571968284115,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
autonomous_driving,clipping,0.0,42,0.0,0.0,0.0,-11.330714319001789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
autonomous_driving,clipping,0.0,123,0.0,0.0,0.0,-8.588031328756164,0.0,0.839,0.2459494072794914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
autonomous_driving,clipping,0.0,456,0.0,0.0,0.0,4.2810686987899205,1.0,0.4135,0.19892772370576858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
autonomous_driving,lyapunov,0.0,42,0.0,0.0,0.0,-11.330714319001789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
autonomous_driving,lyapunov,0.0,123,0.0,0.0,0.0,-8.588031328756164,0.0,0.839,0.2459494072794914,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
autonomous_driving,lyapunov,0.0,456,0.0,0.0,0.0,4.2810686987899205,1.0,0.4135,0.19892772370576858,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
robotics,none,0.0,42,0.0355,0.0185,0.052,0.602262889181277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
robotics,none,0.0,123,0.0085,0.0085,0.0085,0.6594945290536206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
robotics,none,0.0,456,0.0,0.0,0.0,0.6367803966173643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
robotics,clipping,0.0,42,0.0,0.0,0.0,0.694924909776604,0.0,0.0355,0.009699669793248171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
robotics,clipping,0.0,123,0.0,0.0,0.0,0.7019945290536206,0.0,0.0085,0.004427627563476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
robotics,clipping,0.0,456,0.0,0.0,0.0,0.6367803966173643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
robotics,lyapunov,0.0,42,0.0,0.0,0.0,0.6949329704464354,0.0,0.0355,0.009701833069324494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
robotics,lyapunov,0.0,123,0.0,0.0,0.0,0.7019945290536206,0.0,0.0085,0.004427627563476562,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
robotics,lyapunov,0.0,456,0.0,0.0,0.0,0.6367803966173643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
autonomous_driving,clipping,0.01,123,0.0,0.0,0.0,-8.627335248865862,0.0,0.826,0.24276177263259888,0.0,0.0,0.0,-0.03930392010969719,0.0,0.0,0.0,0
autonomous_driving,clipping,0.05,123,0.0,0.0,0.0,-8.72374327248333,0.0,0.7655,0.2308224923014641,0.0,0.0,0.0,-0.13571194372716633,0.0,0.0,0.0,0
autonomous_driving,clipping,0.1,123,0.0,0.0,0.0,-8.599275223433608,0.0,0.6885,0.2180804049372673,0.0,0.0,0.0,-0.011243894677443578,0.0,0.0,0.0,0
autonomous_driving,clipping,0.01,42,0.0,0.0,0.0,-11.299099054512856,0.0,0.0,0.0,0.0,0.0,0.0,0.03161526448893248,0.0,0.0,0.0,0
autonomous_driving,clipping,0.05,42,0.0,0.0,0.0,-11.404036705971789,0.0,0.0,0.0,0.0,0.0,0.0,-0.07332238697000015,0.0,0.0,0.0,0
autonomous_driving,clipping,0.1,42,0.0,0.0,0.0,-11.287350525499194,0.0,0.0,0.0,0.0,0.0,0.0,0.04336379350259456,0.0,0.0,0.0,0
autonomous_driving,clipping,0.01,456,0.0,0.0,0.0,4.244515910463473,1.0,0.412,0.19772421830892564,0.0,0.0,0.0,-0.03655278832644715,0.0,0.0,0.0,0
