domain,method,principal_seed,none_violation_step_rate,violation_step_rate,relative_violation_reduction_vs_none,reward_delta_vs_none,success_delta_vs_none
autonomous_driving,none,42,0.0,0.0,,0.0,0.0
autonomous_driving,none,123,0.839,0.839,0.0,0.0,0.0
autonomous_driving,none,456,0.33352272727272725,0.33352272727272725,0.0,0.0,0.0
autonomous_driving,clipping,42,0.0,0.0,,0.0,0.0
autonomous_driving,clipping,123,0.839,0.0,1.0,0.1323714155658955,0.0
autonomous_driving,clipping,456,0.33352272727272725,0.0,1.0,11.830640667074036,0.85
autonomous_driving,lyapunov,42,0.0,0.0,,0.0,0.0
autonomous_driving,lyapunov,123,0.839,0.0,1.0,0.1323714155658955,0.0
autonomous_driving,lyapunov,456,0.33352272727272725,0.0,1.0,11.830640667074036,0.85
robotics,none,42,0.0355,0.0355,0.0,0.0,0.0
robotics,none,123,0.0085,0.0085,0.0,0.0,0.0
robotics,none,456,0.0,0.0,,0.0,0.0
robotics,clipping,42,0.0355,0.0,1.0,0.09266202059532702,0.0
robotics,clipping,123,0.0085,0.0,1.0,0.04249999999999998,0.0
robotics,clipping,456,0.0,0.0,,0.0,0.0
robotics,lyapunov,42,0.0355,0.0,1.0,0.09267008126515841,0.0
robotics,lyapunov,123,0.0085,0.0,1.0,0.04249999999999998,0.0
robotics,lyapunov,456,0.0,0.0,,0.0,0.0
