domain,method,sigma,principal_seed,violation_delta_from_clean,reward_delta_from_clean,success_delta_from_clean,intervention_rate,mean_correction_l2
autonomous_driving,none,0.01,42,0.0,0.03161526448893248,0.0,0.0,0.0
autonomous_driving,none,0.01,123,-0.009499999999999953,-0.03846890266180658,0.0,0.0,0.0
autonomous_driving,none,0.01,456,-0.001704545454545403,-0.0308377446871253,0.0,0.0,0.0
autonomous_driving,none,0.05,42,0.0,-0.07332238697000015,0.0,0.0,0.0
autonomous_driving,none,0.05,123,-0.07099999999999995,-0.13383640307981004,0.0,0.0,0.0
autonomous_driving,none,0.05,456,0.001891574656898154,-0.18561992311853093,0.0,0.0,0.0
autonomous_driving,none,0.1,42,0.0,0.04336379350259456,0.0,0.0,0.0
autonomous_driving,none,0.1,123,-0.14849999999999997,-0.010874332140256016,0.0,0.0,0.0
autonomous_driving,none,0.1,456,-0.0015136466824888783,-0.41014288842630364,0.0,0.0,0.0
autonomous_driving,clipping,0.01,42,0.0,0.03161526448893248,0.0,0.0,0.0
autonomous_driving,clipping,0.01,123,0.0,-0.03930392010969719,0.0,0.826,0.24276177263259888
autonomous_driving,clipping,0.01,456,0.0,-0.03655278832644715,0.0,0.412,0.19772421830892564
autonomous_driving,clipping,0.05,42,0.0,-0.07332238697000015,0.0,0.0,0.0
autonomous_driving,clipping,0.05,123,0.0,-0.13571194372716633,0.0,0.7655,0.2308224923014641
autonomous_driving,clipping,0.05,456,0.0,-0.25673184056995524,0.0,0.4135,0.19758527582883834
autonomous_driving,clipping,0.1,42,0.0,0.04336379350259456,0.0,0.0,0.0
autonomous_driving,clipping,0.1,123,0.0,-0.011243894677443578,0.0,0.6885,0.2180804049372673
autonomous_driving,clipping,0.1,456,0.0,-0.524882342635324,0.0,0.413,0.19734126818180084
autonomous_driving,lyapunov,0.01,42,0.0,0.03161526448893248,0.0,0.0,0.0
autonomous_driving,lyapunov,0.01,123,0.0,-0.03930392010969719,0.0,0.826,0.24276177263259888
autonomous_driving,lyapunov,0.01,456,0.0,-0.03655278832644715,0.0,0.412,0.19772421830892564
autonomous_driving,lyapunov,0.05,42,0.0,-0.07332238697000015,0.0,0.0,0.0
autonomous_driving,lyapunov,0.05,123,0.0,-0.13571194372716633,0.0,0.7655,0.2308224923014641
autonomous_driving,lyapunov,0.05,456,0.0,-0.25673184056995524,0.0,0.4135,0.19758527582883834
autonomous_driving,lyapunov,0.1,42,0.0,0.04336379350259456,0.0,0.0,0.0
autonomous_driving,lyapunov,0.1,123,0.0,-0.011243894677443578,0.0,0.6885,0.2180804049372673
autonomous_driving,lyapunov,0.1,456,0.0,-0.524882342635324,0.0,0.413,0.19734126818180084
robotics,none,0.01,42,0.0015000000000000013,-0.007755184324416797,0.0,0.0,0.0
robotics,none,0.01,123,0.0,-0.0012194639840941157,0.0,0.0,0.0
robotics,none,0.01,456,0.0,2.5720690989272654e-06,0.0,0.0,0.0
robotics,none,0.05,42,-0.0029999999999999957,0.07188694927381767,0.0,0.0,0.0
robotics,none,0.05,123,0.0,-0.01747777374262105,0.0,0.0,0.0
robotics,none,0.05,456,0.0,-0.01564464114318287,0.0,0.0,0.0
robotics,none,0.1,42,0.0395,0.09606539134862058,0.0,0.0,0.0
robotics,none,0.1,123,-0.0010000000000000009,-0.04591890161261791,0.0,0.0,0.0
robotics,none,0.1,456,0.0025,-0.09906958394257914,0.0,0.0,0.0
robotics,clipping,0.01,42,0.0,-0.00011546329314215953,0.0,0.025,0.010488480657339094
robotics,clipping,0.01,123,0.0,-0.0012194639840941157,0.0,0.0085,0.004422053754329682
robotics,clipping,0.01,456,0.0,2.5720690989272654e-06,0.0,0.0,0.0
robotics,clipping,0.05,42,0.0,0.09207713635314196,0.0,0.027,0.011877321794629095
robotics,clipping,0.05,123,0.0,-0.01747777374262105,0.0,0.0085,0.00444909518957138
robotics,clipping,0.05,456,0.0,-0.01564464114318287,0.0,0.0,0.0
robotics,clipping,0.1,42,0.0,0.16479164518654066,0.0,0.0445,0.017271684199571605
robotics,clipping,0.1,123,0.0,-0.050918901612617806,0.0,0.0075,0.003995622098445892
robotics,clipping,0.1,456,0.0,-0.09895666715020945,0.0,0.001,0.0001943452358245847
robotics,lyapunov,0.01,42,0.0,-8.14897517253943e-05,0.0,0.0235,0.010498761922121048
robotics,lyapunov,0.01,123,0.0,-0.0012194639840941157,0.0,0.0085,0.004422053754329682
robotics,lyapunov,0.01,456,0.0,2.5720690989272654e-06,0.0,0.0,0.0
robotics,lyapunov,0.05,42,0.0,0.09219830896865089,0.0,0.0255,0.011930396735668182
robotics,lyapunov,0.05,123,0.0,-0.01747777374262105,0.0,0.0085,0.00444909518957138
robotics,lyapunov,0.05,456,0.0,-0.01564464114318287,0.0,0.0,0.0
robotics,lyapunov,0.1,42,0.0,0.1658272707643963,0.0,0.039,0.017705756694078447
robotics,lyapunov,0.1,123,0.0,-0.050918901612617806,0.0,0.0075,0.003995622098445892
robotics,lyapunov,0.1,456,0.0,-0.09891547571778125,0.0,0.001,0.0003043849468231201
