domain,method,principal_seed,sigma,violation_step_rate,violation_delta_from_clean,critical_violation_step_rate,critical_delta_from_clean,constraint_violation_rate,constraint_delta_from_clean,reward,reward_delta_from_clean,success_rate,success_delta_from_clean,intervention_rate,mean_action_correction_l2,max_action_correction_l2,mean_noise_l2,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,selected_lower_than_proposed_rate,emergency_fallback_rate,steps_object_grasped,source
autonomous_driving,none,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.330714319001789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,results\safety\baseline\runs\autonomous_driving-seed-42.json
autonomous_driving,none,123,0.0,0.839,0.0,0.0,0.0,0.839,0.0,-8.72040274432206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,results\safety\baseline\runs\autonomous_driving-seed-123.json
autonomous_driving,none,456,0.0,0.33352272727272725,0.0,0.05965909090909091,0.0,0.48920454545454545,0.0,-7.549571968284115,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,results\safety\baseline\runs\autonomous_driving-seed-456.json
autonomous_driving,clipping,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.330714319001789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,results\safety\clipping\runs\autonomous_driving-seed-42.json
autonomous_driving,clipping,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.588031328756164,0.0,0.0,0.0,0.839,0.2459494072794914,0.4394643306732178,0.0,0.0,0.0,0.0,0.0,0,results\safety\clipping\runs\autonomous_driving-seed-123.json
autonomous_driving,clipping,456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2810686987899205,0.0,1.0,0.0,0.4135,0.19892772370576858,0.5192502737045288,0.0,0.0,0.0,0.0,0.0,0,results\safety\clipping\runs\autonomous_driving-seed-456.json
autonomous_driving,lyapunov,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.330714319001789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,results\safety\lyapunov-driving\runs\autonomous_driving-seed-42.json
autonomous_driving,lyapunov,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.588031328756164,0.0,0.0,0.0,0.839,0.2459494072794914,0.4394643306732178,0.0,0.0,1.0,0.0,0.0,0,results\safety\lyapunov-driving\runs\autonomous_driving-seed-123.json
autonomous_driving,lyapunov,456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2810686987899205,0.0,1.0,0.0,0.4135,0.19892772370576858,0.5192502737045288,0.0,0.0,1.0,0.0,0.0,0,results\safety\lyapunov-driving\runs\autonomous_driving-seed-456.json
robotics,none,42,0.0,0.0355,0.0,0.0185,0.0,0.052,0.0,0.602262889181277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,results\safety\baseline\runs\robotics-seed-42.json
robotics,none,123,0.0,0.0085,0.0,0.0085,0.0,0.0085,0.0,0.6594945290536206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,results\safety\baseline\runs\robotics-seed-123.json
robotics,none,456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6367803966173643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,results\safety\baseline\runs\robotics-seed-456.json
robotics,clipping,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.694924909776604,0.0,0.0,0.0,0.0355,0.009699669793248171,0.5662872791290283,0.0,0.0,0.0,0.0,0.0,0,results\safety\clipping\runs\robotics-seed-42.json
robotics,clipping,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7019945290536206,0.0,0.0,0.0,0.0085,0.004427627563476562,0.5337059497833252,0.0,0.0,0.0,0.0,0.0,0,results\safety\clipping\runs\robotics-seed-123.json
robotics,clipping,456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6367803966173643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,results\safety\clipping\runs\robotics-seed-456.json
