domain,perturbation_family,perturbation_name,method,principal_seed,violation_step_rate,clean_violation_step_rate,violation_delta_from_clean,critical_violation_step_rate,constraint_violation_rate,reward,clean_reward,reward_delta_from_clean,success_rate,clean_success_rate,success_delta_from_clean,intervention_rate,mean_action_correction_l2,max_action_correction_l2,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,selected_lower_than_proposed_rate,emergency_fallback_rate,steps_object_grasped,interventions_while_grasped,source
autonomous_driving,heading_error,heading_error_minus_0p05,clipping,123,0.0,0.0,0.0,0.0,0.0,-5.215410571185893,-8.588031328756164,3.372620757570272,0.0,0.0,0.0,0.8275,0.24226330041885377,0.4198347330093384,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-minus-0p05-clipping-seed-123.json
autonomous_driving,heading_error,heading_error_minus_0p05,clipping,42,0.0,0.0,0.0,0.0,0.0,-13.260893612937213,-11.330714319001789,-1.9301792939354243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-minus-0p05-clipping-seed-42.json
autonomous_driving,heading_error,heading_error_minus_0p05,clipping,456,0.0,0.0,0.0,0.0,0.0,2.0023279184079192,4.2810686987899205,-2.2787407803820012,1.0,1.0,0.0,0.4105,0.1914497963786125,0.5055875778198242,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-minus-0p05-clipping-seed-456.json
autonomous_driving,heading_error,heading_error_minus_0p05,lyapunov,123,0.0,0.0,0.0,0.0,0.0,-5.215410571185893,-8.588031328756164,3.372620757570272,0.0,0.0,0.0,0.8275,0.24226330041885377,0.4198347330093384,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-minus-0p05-lyapunov-seed-123.json
autonomous_driving,heading_error,heading_error_minus_0p05,lyapunov,42,0.0,0.0,0.0,0.0,0.0,-13.260893612937213,-11.330714319001789,-1.9301792939354243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-minus-0p05-lyapunov-seed-42.json
autonomous_driving,heading_error,heading_error_minus_0p05,lyapunov,456,0.0,0.0,0.0,0.0,0.0,2.0023279184079192,4.2810686987899205,-2.2787407803820012,1.0,1.0,0.0,0.4105,0.1914497963786125,0.5055875778198242,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-minus-0p05-lyapunov-seed-456.json
autonomous_driving,heading_error,heading_error_minus_0p05,none,123,0.8275,0.839,-0.011499999999999955,0.0,0.8275,-5.333969351657513,-8.72040274432206,3.3864333926645473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-minus-0p05-none-seed-123.json
autonomous_driving,heading_error,heading_error_minus_0p05,none,42,0.0,0.0,0.0,0.0,0.0,-13.260893612937213,-11.330714319001789,-1.9301792939354243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-minus-0p05-none-seed-42.json
autonomous_driving,heading_error,heading_error_minus_0p05,none,456,0.33276740237691,0.33352272727272725,-0.0007553248958172554,0.06112054329371817,0.47538200339558573,-9.500692507930124,-7.549571968284115,-1.9511205396460083,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-minus-0p05-none-seed-456.json
autonomous_driving,heading_error,heading_error_plus_0p05,clipping,123,0.0,0.0,0.0,0.0,0.0,-13.965033242065228,-8.588031328756164,-5.377001913309064,0.0,0.0,0.0,0.849,0.2494832674264908,0.45844268798828125,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-plus-0p05-clipping-seed-123.json
autonomous_driving,heading_error,heading_error_plus_0p05,clipping,42,0.0,0.0,0.0,0.0,0.0,-13.339540888487933,-11.330714319001789,-2.0088265694861445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-plus-0p05-clipping-seed-42.json
autonomous_driving,heading_error,heading_error_plus_0p05,clipping,456,0.0,0.0,0.0,0.0,0.0,6.032441170194906,4.2810686987899205,1.7513724714049852,1.0,1.0,0.0,0.4175,0.2073382779955864,0.5367454290390015,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-plus-0p05-clipping-seed-456.json
autonomous_driving,heading_error,heading_error_plus_0p05,lyapunov,123,0.0,0.0,0.0,0.0,0.0,-13.965033242065228,-8.588031328756164,-5.377001913309064,0.0,0.0,0.0,0.849,0.2494832674264908,0.45844268798828125,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-heading-error-plus-0p05-lyapunov-seed-123.json
